base_scenario,n_replicates,n_finished_target,lambda_a_1,lambda_a_T,lambda_a_c,lambda_a_T_over_lambda_a_c,lambda_d,beta_a_R,beta_a_T,beta_d_R,beta_d_T,fraction_t_zone_binomial_p_value_below_0p05,total_time_for_analyzed_1000_deaths_after_burnin_mean,total_time_for_analyzed_1000_deaths_after_burnin_std,total_time_for_analyzed_1000_deaths_after_burnin_min,total_time_for_analyzed_1000_deaths_after_burnin_max,observed_death_rate_after_burnin_mean,observed_death_rate_after_burnin_std,observed_death_rate_after_burnin_min,observed_death_rate_after_burnin_max,t_zone_observed_deaths_mean,t_zone_observed_deaths_std,t_zone_observed_deaths_min,t_zone_observed_deaths_max,t_zone_observed_fraction_mean,t_zone_observed_fraction_std,t_zone_observed_fraction_min,t_zone_observed_fraction_max,t_zone_density_ratio_mean,t_zone_density_ratio_std,t_zone_density_ratio_min,t_zone_density_ratio_max,t_zone_binomial_p_value_greater_mean,t_zone_binomial_p_value_greater_std,t_zone_binomial_p_value_greater_min,t_zone_binomial_p_value_greater_max,death_rejected_mean,death_rejected_std,death_rejected_min,death_rejected_max,accepted_activations_total_mean,accepted_activations_total_std,accepted_activations_total_min,accepted_activations_total_max
T0p5_c0p005_ratio_1e2_betaR2p5_betaT1p2,5,5,5.0,0.5,0.005,100.0,1.0,2.5,1.2,2.0,0.8,0.0,24.403607271859094,0.8232269006142504,23.051978084027084,25.267964570570747,41.01595484772638,1.4236837148368933,39.57580347269785,43.3802251743814,442.0,22.327113561766108,408.0,470.0,0.442,0.02232711356176611,0.408,0.47,0.9929775242116955,0.08861235498680001,0.8614864864864864,1.1084905660377358,0.5231987078823859,0.340468862977117,0.055588829891658885,0.9907986355091236,2407.4,185.0224310725594,2193.0,2663.0,17264.8,813.9574313193535,15998.0,17989.0
T0p5_c0p005_ratio_1e2_betaR2p5_betaT2p0,5,5,5.0,0.5,0.005,100.0,1.0,2.5,2.0,2.0,0.8,1.0,30.895224322323156,1.5682875879219,29.09103705828329,32.91759455286439,32.43364756515873,1.630663317539,30.378890486485535,34.374848789217125,487.0,21.236760581595302,474.0,524.0,0.487,0.02123676058159532,0.474,0.524,1.1901662909251707,0.10627685857359481,1.1264258555133078,1.376050420168067,0.01785068985891159,0.014592907176593273,2.6828601851261146e-07,0.032401106895754914,3327.8,180.89831397777039,3067.0,3524.0,16121.2,930.7186470679525,15447.0,17716.0
T0p5_c0p005_ratio_1e2_betaR2p5_betaT3p0,5,5,5.0,0.5,0.005,100.0,1.0,2.5,3.0,2.0,0.8,1.0,60.508613834633444,4.5426814351013665,53.38879577103334,64.87969720136468,16.60563173792699,1.3183702388967855,15.413142217608346,18.730521742589307,633.0,20.54263858417414,598.0,651.0,0.633,0.020542638584174155,0.598,0.651,2.1640964901247868,0.1810522116496217,1.8594527363184075,2.3316618911174776,2.834320697779705e-23,6.33773375023165e-23,1.6446747192495102e-39,1.4171603488829819e-22,7829.0,651.9620387721973,7093.0,8448.0,14591.6,620.6716523251243,13939.0,15526.0
T0p5_c0p005_ratio_1e2_betaR2p5_betaT5p0,5,5,5.0,0.5,0.005,100.0,1.0,2.5,5.0,2.0,0.8,1.0,150.59928061578043,8.990004962615574,140.05528051415004,164.4260376830362,6.658636890729513,0.3879569981912457,6.08176183098019,7.140037821701183,769.6,17.924843095547587,745.0,794.0,0.7696000000000001,0.017924843095547604,0.745,0.794,4.201864660858118,0.42729209458452694,3.651960784313725,4.817961165048543,1.0144296337172879e-83,2.2683336192936073e-83,1.8256086467511485e-113,5.072148168428196e-83,21695.4,1005.31751203289,20934.0,23412.0,14933.2,578.9302203202041,14250.0,15731.0
T0p5_c0p005_ratio_1e2_betaR3p5_betaT1p2,5,5,5.0,0.5,0.005,100.0,1.0,3.5,1.2,2.0,0.8,1.0,33.96282675996228,1.2024047181417719,32.21600492286841,35.49135958440468,29.473785831934567,1.053795409335889,28.175871865991063,31.04047203848525,506.4,18.283872675120005,479.0,526.0,0.5064000000000001,0.018283872675120022,0.479,0.526,1.2851563095235896,0.09255277299078925,1.1492322456813817,1.3871308016877637,0.0030904987692918855,0.00679586876852511,1.3786449861765558e-07,0.015246967701662732,4333.4,196.88651553623473,4042.0,4510.0,15327.8,559.924727083918,14656.0,16213.0
T0p5_c0p005_ratio_1e2_betaR3p5_betaT2p0,5,5,5.0,0.5,0.005,100.0,1.0,3.5,2.0,2.0,0.8,1.0,107.78131783242407,8.894925268899746,99.29124237217212,119.17203241265943,9.327505651295079,0.7495670811356947,8.391230557663727,10.071381685926665,773.0,21.817424229271428,742.0,791.0,0.773,0.021817424229271448,0.742,0.791,4.2956919301898004,0.5087374270884649,3.594961240310077,4.730861244019138,4.835753565276827e-82,1.0813073685662802e-81,1.98548022812542e-111,2.41787678107618e-81,14751.8,1308.467882678058,13339.0,16700.0,15025.4,639.1774401525761,14094.0,15848.0
T0p5_c0p005_ratio_1e2_betaR3p5_betaT3p0,5,5,5.0,0.5,0.005,100.0,1.0,3.5,3.0,2.0,0.8,1.0,194.83749667800544,6.388701850297293,188.6264217897679,203.03849557454618,5.136851667753573,0.16658307236014544,4.9251743969549215,5.301484227456439,832.2,13.179529581893277,817.0,847.0,0.8321999999999999,0.01317952958189329,0.817,0.847,6.2364555720987855,0.5911283026006204,5.580601092896173,6.919934640522873,1.3741105045067659e-130,3.0719500131182195e-130,1.206867683838688e-153,6.869381671917526e-130,29222.0,1568.8231257856955,27754.0,31000.0,16283.6,409.2808326809356,15900.0,16757.0
T0p5_c0p005_ratio_1e2_betaR3p5_betaT5p0,5,5,5.0,0.5,0.005,100.0,1.0,3.5,5.0,2.0,0.8,1.0,401.496090004012,15.843850075499311,381.1552802206959,418.66659724522094,2.4937961824943065,0.09860761806984629,2.3885354279034616,2.6236026414772,865.6,14.638989036132243,852.0,888.0,0.8655999999999999,0.014638989036132255,0.852,0.888,8.146462827827538,1.1037770536295566,7.195945945945945,9.910714285714285,1.4165925142967625e-158,3.0940517878810093e-158,4.13162644102425e-191,6.9504487443101295e-158,57773.2,2940.671555954524,53463.0,61725.0,21584.8,694.6097465483766,20595.0,22530.0
T0p5_c0p005_ratio_1e2_betaR5p0_betaT1p2,5,5,5.0,0.5,0.005,100.0,1.0,5.0,1.2,2.0,0.8,1.0,150.52136429170693,7.282259417785376,143.64212783896636,161.45111301244577,6.6557052480173455,0.3135442563068005,6.193825371293124,6.961745937940123,868.0,17.564168070250297,842.0,885.0,0.868,0.01756416807025031,0.842,0.885,8.348534374125844,1.2153774857439208,6.661392405063289,9.619565217391303,3.4580597699895446e-150,7.732456715953906e-150,3.814287661227728e-188,1.7290298849947715e-149,21696.0,621.2616196096457,21070.0,22667.0,15610.2,350.2880243456804,15207.0,16041.0
T0p5_c0p005_ratio_1e2_betaR5p0_betaT2p0,5,5,5.0,0.5,0.005,100.0,1.0,5.0,2.0,2.0,0.8,1.0,311.8125752576753,7.434271849113816,299.9263944578511,316.7670150615543,3.2085432489108663,0.07804641688091116,3.1568943496395283,3.334151373398152,899.6,10.57355191030904,883.0,907.0,0.8996000000000001,0.010573551910309053,0.883,0.907,11.303623071811126,1.2293995114365768,9.433760683760681,12.190860215053762,6.886611930853149e-187,0.0,7.690399260947758e-211,3.443305965423081e-186,44733.0,772.1097719884136,43929.0,45736.0,19313.0,269.5746649817078,19048.0,19649.0
